u,v,usage,pop_affected,pop_lost,score
3387440420,11840368650,169187,0,0,
1431041680,1431041684,169091,0,0,
1431041680,1431063487,168875,0,0,
1431063485,1431063487,168702,0,0,
1431063472,1431063485,168465,0,0,
1432144353,1432144360,168438,0,0,
1431063457,1431063472,167759,0,0,
1424395928,3387440420,167738,0,0,
1424353105,1424395928,167451,0,0,
4843180304,5526684894,167235,0,0,
1431063430,1431063457,166917,0,0,
1431063420,1431063430,166701,0,0,
1431040976,1431063420,166413,0,0,
1428213542,1428213560,166172,0,0,
1428213494,1428213542,165502,0,0,
1432144360,1432144363,165277,0,0,
1428213490,1428213494,165257,0,0,
1428213470,1428213490,164982,0,0,
1431040721,1431040976,164721,0,0,
4843180304,11721790292,164642,0,0,
4843181494,11721790292,164565,0,0,
1425716596,3933513592,163403,0,0,
1432144363,10749422394,163346,0,0,
1431073045,1431998437,163337,0,0,
10749422391,10749422394,163288,0,0,
1431040681,1431040721,163272,0,0,
10749422391,11865404866,163213,0,0,
6330030797,11865404866,163152,0,0,
1431040643,1431040681,163014,0,0,
1432144392,6330030797,162946,0,0,
1431073050,1431998437,162756,0,0,
1430553315,1431040643,162756,0,0,
1431073049,1431073050,162624,0,0,
3933513592,6330347764,162352,0,0,
1430553261,1430553315,162214,0,0,
1425716606,6330347764,161972,0,0,
1425545884,1425545887,160790,0,0,
3805757645,3898409461,160408,0,0,
1425545870,1425545884,160332,0,0,
1430553243,1430553261,159748,0,0,
3450447209,3805757645,159040,0,0,
1425545845,1425545870,158795,0,0,
3450447209,12785867240,158788,0,0,
3867217332,11849878878,158773,0,0,
1425545845,4843070110,158422,0,0,
3867217332,3867217336,158386,0,0,
3421900859,12785867240,158329,0,0,
4843070110,4843070116,158090,0,0,
3867217336,10097211237,157168,0,0,
1428119801,1428119802,156984,0,0,
10091697534,10097211237,156821,0,0,
3421900859,13255861076,156707,0,0,
6968293920,6968293945,156598,0,0,
1425545775,4843070116,156531,0,0,
1424619167,6330087194,156371,0,0,
6968293945,6968293946,156262,0,0,
6877544472,10127515790,155926,0,0,
6877544465,10127515790,155799,0,0,
6877544465,6877544473,155719,0,0,
1424619221,10091697534,155634,0,0,
1431998412,6968293946,155421,0,0,
3439344258,6330087194,155218,0,0,
1425545768,1425545775,154960,0,0,
13255861076,13255861084,154594,0,0,
1424618974,6332156268,154205,0,0,
3439344258,9709066335,154183,0,0,
3421900863,13255861084,153864,0,0,
1428213464,1428213470,152983,0,0,
6332156268,9186839551,152829,0,0,
3421900863,3421900876,152432,0,0,
9186839551,10097211232,151901,0,0,
3421866948,3832483008,151753,0,0,
1431998412,1431998422,151707,0,0,
1431998422,1431998427,151592,0,0,
3421900876,13255861071,151288,0,0,
1431998427,1431998429,151118,0,0,
1424618941,10097211232,151093,0,0,
1431998429,1431998463,150855,0,0,
1431998463,1431998477,150733,0,0,
1425545745,1425545768,150673,0,0,
1431998477,1431998498,150273,0,0,
1428104860,1428104864,150207,0,0,
1431998498,1431998502,149718,0,0,
1428104841,1428104860,149666,0,0,
1424618972,1424618974,149465,0,0,
1428213464,3942900319,149408,0,0,
1424618915,1424618941,149223,0,0,
1428213013,3942900319,148995,0,0,
1424618964,1424618972,148968,0,0,
1429141408,1429141411,148792,0,0,
11890933887,11890933891,148787,0,0,
1424396481,3421866948,148620,0,0,
1429141411,1429141418,148532,0,0,
1431072978,11890933887,148463,0,0,
1431072960,1431072978,148314,0,0,
1424480155,9958465961,148192,0,0,
1429141417,1429141418,148191,0,0,
1429141417,10166264951,147913,0,0,
1431072960,1431072983,147668,0,0,
1431072983,11890933892,147521,0,0,
1431219776,11890933892,147377,0,0,
1431998496,1431998502,147208,0,0,
1424351811,12377642695,147163,0,0,
1431998473,1431998496,147050,0,0,
1431998465,1431998473,146882,0,0,
1431998459,1431998465,146685,0,0,
1832898974,9709066335,146663,0,0,
1431998459,6170029261,146548,0,0,
1431998466,6170029261,146430,0,0,
1424480155,1425386021,146340,0,0,
1431998466,1431998475,146198,0,0,
1432156378,6877544473,145948,0,0,
1428213603,11145895149,145650,0,0,
1424618964,1424618975,145595,0,0,
1832898970,1832898974,145580,0,0,
1431998475,6170029267,145354,0,0,
1424618915,6241110596,145330,0,0,
6170029213,6170029267,145193,0,0,
6170029213,6170029246,145066,0,0,
1428213422,11145895149,144885,0,0,
1432156377,1432156378,144599,0,0,
1428213422,6324987906,144163,0,0,
1424618975,1424618981,144097,0,0,
1432156377,9451906933,143727,0,0,
9451906933,10127605868,143677,0,0,
1424618791,6241110596,143568,0,0,
1428213357,6324987906,143411,0,0,
1424618791,1424618820,143212,0,0,
1428119379,1428119381,143197,0,0,
1424618820,10097154277,142917,0,0,
1424618981,1424618989,142901,0,0,
10097154276,10097154277,142633,0,0,
1424618989,1424619000,141808,0,0,
1431135598,1431135600,140928,0,0,
1424618965,1424619000,140377,0,0,
4832139088,10097154276,140257,0,0,
1431135565,1431135600,140040,0,0,
1428088515,1428088545,140002,0,0,
1428213655,6474168584,139820,0,0,
1424618958,1424618965,139633,0,0,
1431135565,1431135586,139510,0,0,
1427203425,1428088545,139495,0,0,
1428104715,1428119802,139445,0,0,
1424618647,4832139088,139419,0,0,
1428213642,6474168584,139194,0,0,
1428104714,1428104715,139002,0,0,
1428213618,1428213642,138853,0,0,
1424618647,1424618659,138407,0,0,
1431135574,1431135586,138075,0,0,
